LOCATION,TIME,Value
USA,1995-08,100.8787
USA,1995-09,100.64
USA,1995-10,100.4822
USA,1995-11,100.4038
USA,1995-12,100.428
USA,1996-01,100.4444
USA,1996-02,100.5161
USA,1996-03,100.6619
USA,1996-04,100.6907
USA,1996-05,100.67
USA,1996-06,100.7788
USA,1996-07,100.9385
USA,1996-08,101.0589
USA,1996-09,101.1498
USA,1996-10,101.2722
USA,1996-11,101.3763
USA,1996-12,101.3916
USA,1997-01,101.4424
USA,1997-02,101.5605
USA,1997-03,101.6935
USA,1997-04,101.8585
USA,1997-05,102.0449
USA,1997-06,102.2148
USA,1997-07,102.3291
USA,1997-08,102.3318
USA,1997-09,102.3427
USA,1997-10,102.3358
USA,1997-11,102.3174
USA,1997-12,102.2857
USA,1998-01,102.4385
USA,1998-02,102.602
USA,1998-03,102.6096
USA,1998-04,102.5881
USA,1998-05,102.4889
USA,1998-06,102.3698
USA,1998-07,102.2334
USA,1998-08,102.0408
USA,1998-09,101.7999
USA,1998-10,101.6636
USA,1998-11,101.7572
USA,1998-12,101.9003
USA,1999-01,102.1402
USA,1999-02,102.3487
USA,1999-03,102.384
USA,1999-04,102.3792
USA,1999-05,102.4228
USA,1999-06,102.4339
USA,1999-07,102.3783
USA,1999-08,102.3167
USA,1999-09,102.3064
USA,1999-10,102.2858
USA,1999-11,102.4038
USA,1999-12,102.5676
USA,2000-01,102.7974
USA,2000-02,102.8501
USA,2000-03,102.7695
USA,2000-04,102.751
USA,2000-05,102.7258
USA,2000-06,102.6273
USA,2000-07,102.594
USA,2000-08,102.5593
USA,2000-09,102.5096
USA,2000-10,102.401
USA,2000-11,102.1495
USA,2000-12,101.6216
USA,2001-01,101.0984
USA,2001-02,100.7161
USA,2001-03,100.5511
USA,2001-04,100.518
USA,2001-05,100.6409
USA,2001-06,100.7199
USA,2001-07,100.6339
USA,2001-08,100.3323
USA,2001-09,99.89782
USA,2001-10,99.74116
USA,2001-11,99.88892
USA,2001-12,100.2465
USA,2002-01,100.5923
USA,2002-02,100.7994
USA,2002-03,100.9867
USA,2002-04,101.0395
USA,2002-05,101.0134
USA,2002-06,100.7627
USA,2002-07,100.427
USA,2002-08,100.1503
USA,2002-09,99.90825
USA,2002-10,99.72552
USA,2002-11,99.74057
USA,2002-12,99.73804
USA,2003-01,99.55934
USA,2003-02,99.40085
USA,2003-03,99.48411
USA,2003-04,99.91875
USA,2003-05,100.3473
USA,2003-06,100.5036
USA,2003-07,100.5059
USA,2003-08,100.4164
USA,2003-09,100.3809
USA,2003-10,100.5294
USA,2003-11,100.8221
USA,2003-12,101.1258
USA,2004-01,101.4056
USA,2004-02,101.2918
USA,2004-03,101.1237
USA,2004-04,100.9523
USA,2004-05,100.8738
USA,2004-06,101.0119
USA,2004-07,101.1236
USA,2004-08,101.0988
USA,2004-09,100.9797
USA,2004-10,100.8903
USA,2004-11,100.9547
USA,2004-12,101.0907
USA,2005-01,101.0759
USA,2005-02,100.92
USA,2005-03,100.69
USA,2005-04,100.5012
USA,2005-05,100.5693
USA,2005-06,100.82
USA,2005-07,100.7263
USA,2005-08,100.1338
USA,2005-09,99.41367
USA,2005-10,99.17995
USA,2005-11,99.56727
USA,2005-12,100.1452
USA,2006-01,100.406
USA,2006-02,100.3572
USA,2006-03,100.2256
USA,2006-04,99.97358
USA,2006-05,99.6911
USA,2006-06,99.6703
USA,2006-07,99.70652
USA,2006-08,99.80495
USA,2006-09,100.1207
USA,2006-10,100.5414
USA,2006-11,100.7727
USA,2006-12,100.8883
USA,2007-01,100.9204
USA,2007-02,100.6969
USA,2007-03,100.4247
USA,2007-04,100.2504
USA,2007-05,100.19
USA,2007-06,100.1493
USA,2007-07,100.1261
USA,2007-08,99.89663
USA,2007-09,99.64114
USA,2007-10,99.34621
USA,2007-11,99.06
USA,2007-12,98.89159
USA,2008-01,98.72973
USA,2008-02,98.34016
USA,2008-03,97.87051
USA,2008-04,97.3411
USA,2008-05,96.96101
USA,2008-06,96.84148
USA,2008-07,97.04502
USA,2008-08,97.30289
USA,2008-09,97.3791
USA,2008-10,97.02541
USA,2008-11,96.76826
USA,2008-12,96.76077
USA,2009-01,96.768
USA,2009-02,96.74191
USA,2009-03,96.94426
USA,2009-04,97.39332
USA,2009-05,97.77971
USA,2009-06,97.93968
USA,2009-07,97.89438
USA,2009-08,97.93816
USA,2009-09,98.11636
USA,2009-10,98.14606
USA,2009-11,98.16013
USA,2009-12,98.33461
USA,2010-01,98.49635
USA,2010-02,98.55148
USA,2010-03,98.54839
USA,2010-04,98.52795
USA,2010-05,98.52668
USA,2010-06,98.43158
USA,2010-07,98.14699
USA,2010-08,97.97341
USA,2010-09,97.92258
USA,2010-10,98.02107
USA,2010-11,98.27833
USA,2010-12,98.52911
USA,2011-01,98.63737
USA,2011-02,98.58832
USA,2011-03,98.34479
USA,2011-04,98.2864
USA,2011-05,98.2707
USA,2011-06,97.96353
USA,2011-07,97.38677
USA,2011-08,96.89449
USA,2011-09,96.82732
USA,2011-10,97.05892
USA,2011-11,97.50053
USA,2011-12,98.04679
USA,2012-01,98.51247
USA,2012-02,98.7721
USA,2012-03,98.89722
USA,2012-04,98.93228
USA,2012-05,98.87596
USA,2012-06,98.66972
USA,2012-07,98.59705
USA,2012-08,98.76841
USA,2012-09,99.08746
USA,2012-10,99.31627
USA,2012-11,99.22913
USA,2012-12,98.89225
USA,2013-01,98.76273
USA,2013-02,98.86662
USA,2013-03,99.0349
USA,2013-04,99.24892
USA,2013-05,99.59026
USA,2013-06,99.76675
USA,2013-07,99.72871
USA,2013-08,99.44532
USA,2013-09,99.06078
USA,2013-10,98.82304
USA,2013-11,98.92445
USA,2013-12,99.23093
USA,2014-01,99.4054
USA,2014-02,99.47614
USA,2014-03,99.50869
USA,2014-04,99.5824
USA,2014-05,99.56865
USA,2014-06,99.54198
USA,2014-07,99.53372
USA,2014-08,99.62952
USA,2014-09,99.83581
USA,2014-10,100.1258
USA,2014-11,100.4816
USA,2014-12,100.8762
USA,2015-01,101.142
USA,2015-02,101.1443
USA,2015-03,101.0472
USA,2015-04,100.9922
USA,2015-05,100.9113
USA,2015-06,100.9255
USA,2015-07,100.8101
USA,2015-08,100.6195
USA,2015-09,100.4478
USA,2015-10,100.4772
USA,2015-11,100.5944
USA,2015-12,100.692
USA,2016-01,100.7052
USA,2016-02,100.6676
USA,2016-03,100.6275
USA,2016-04,100.6497
USA,2016-05,100.7728
USA,2016-06,100.7506
USA,2016-07,100.6031
USA,2016-08,100.4966
USA,2016-09,100.4773
USA,2016-10,100.5546
USA,2016-11,100.8857
USA,2016-12,101.2251
USA,2017-01,101.3742
USA,2017-02,101.3618
USA,2017-03,101.3311
USA,2017-04,101.2912
USA,2017-05,101.2196
USA,2017-06,101.1132
USA,2017-07,101.072
USA,2017-08,101.169
USA,2017-09,101.2904
USA,2017-10,101.4409
USA,2017-11,101.4207
USA,2017-12,101.3377
USA,2018-01,101.3671
USA,2018-02,101.5275
USA,2018-03,101.627
USA,2018-04,101.577
USA,2018-05,101.4924
USA,2018-06,101.4354
USA,2018-07,101.4044
USA,2018-08,101.4155
USA,2018-09,101.4975
USA,2018-10,101.4799
USA,2018-11,101.3726
USA,2018-12,101.2051
USA,2019-01,101.0046
USA,2019-02,101.0577
USA,2019-03,101.2718
USA,2019-04,101.4288
USA,2019-05,101.5151
USA,2019-06,101.423
USA,2019-07,101.1953
USA,2019-08,100.9047
USA,2019-09,100.9046
USA,2019-10,101.1037
USA,2019-11,101.3675
USA,2019-12,101.5911
USA,2020-01,101.5895
USA,2020-02,101.1694
USA,2020-03,100.1898
USA,2020-04,99.1244
USA,2020-05,98.63362
USA,2020-06,98.58475
USA,2020-07,98.60172
USA,2020-08,98.7998
USA,2020-09,99.10643
USA,2020-10,99.2524
USA,2020-11,99.21011
USA,2020-12,99.21311
USA,2021-01,99.21909
USA,2021-02,99.35609
USA,2021-03,99.71561
USA,2021-04,99.95541
USA,2021-05,99.89777
USA,2021-06,99.69176
USA,2021-07,99.23231
USA,2021-08,98.67365
USA,2021-09,98.38036
USA,2021-10,98.19716
USA,2021-11,98.0378
USA,2021-12,97.93823
USA,2022-01,97.70746
USA,2022-02,97.40553
USA,2022-03,97.17229
USA,2022-04,97.009
USA,2022-05,96.60963
USA,2022-06,96.20984
USA,2022-07,96.18243
USA,2022-08,96.44378
USA,2022-09,96.65869
USA,2022-10,96.77125
USA,2022-11,96.83717
USA,2022-12,97.05321
USA,2023-01,97.33643
USA,2023-02,97.4511
USA,2023-03,97.34036
USA,2023-04,97.24804
USA,2023-05,97.24995
USA,2023-06,97.54726
USA,2023-07,97.90887
USA,2023-08,97.98888
USA,2023-09,97.82825
USA,2023-10,97.52642