Reference area,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020,31/12/2020,31/03/2021,30/06/2021,30/09/2021,31/12/2021,31/03/2022,30/06/2022,30/09/2022,31/12/2022,31/03/2023,30/06/2023,30/09/2023
SI:Slovenia,133.84,137.936667,135.273333,129.79,122.603333,120.293333,121.836667,119.29,118.046667,117.88,115.813333,114.113333,114.44,116.06,116.47,117.786667,115.833333,113.053333,111.15,110.8,107.956667,105.286667,103.203333,101.716667,101.65,100.15,99.633333,99.476667,98.223333,97.35,97.516667,96.81,97.143333,97.083333,96.2,96.333333,96.19,95.16,94.803333,95.31,95.056667,94.773333,94.443333,94.29,94.143333,94.6,94.773333,94.46,94.43,94.503333,94.51,94.763333,95.196667,95.493333,94.546667,94.693333,96.6,96.62,96.7,96.943333,95.726667,94.436667,94.516667,95.063333,94.936667,95.46,95.493333,95.636667,94.783333,94.686667,94.113333,94.54,95.086667,95.23,95.92,96.403333,97.14,96.89,96.313333,96.173333,94.833333,94.033333,95.236667,95.29,96.22,96.18,95.996667,95.92,95.756667,96.06,97.326667,97.666667,97.99,98.146667,99.106667,98.83,98.363333,98.556667,98.446667,98.363333,98.55,99.686667,100.743333,101.023333,100.806667,101.096667,100.743333,100.81,101.203333,100.753333,100.326667,101.31,101.993333,102.836667,104.09
SG:Singapore,76.076667,75.52,76.713333,78.2,79.543333,80.34,80.266667,81.436667,82.753333,82.4,82.316667,81.95,84.41,85.656667,83.073333,82.213333,79.713333,80.23,80.49,80.22,79.826667,79.92,80.573333,81.893333,82.41,81.713333,82.8,80.913333,81.776667,81.1,81.193333,81.166667,80.663333,79.226667,78.896667,78.196667,78.376667,79.166667,78.95,79.453333,79.426667,79.31,79.54,79.9,81.53,82.136667,82.633333,83.086667,83.7,82.94,82.576667,84.086667,84.856667,86.82,86.563333,86.583333,86.326667,86.503333,86.396667,86.95,87.043333,88.856667,89.69,90.776667,91.826667,92.683333,93.586667,91.35,92.91,94.086667,95.643333,96.356667,96.093333,96.383333,96.123333,97.096667,96.623333,97.48,98.013333,97.853333,96.76,98.08,97.216667,97.29,98.036667,99.36,99.746667,98.243333,98.51,98.713333,99.1,99.346667,99.11,99.373333,100.24,100.81,101.03,101.21,101.093333,101.87,100.39,99.866667,100.03,99.716667,99.71,100.133333,99.643333,100.036667,100.986667,102.986667,105.24,107.766667,108.403333,108.953333,110.07
SK:Slovak Republic,68.14,68.276667,68.19,68.67,69.376667,69.446667,68.886667,68.69,70.163333,71.983333,73.406667,73.516667,73.52,73.453333,72.166667,67.846667,67.18,63.993333,65.076667,67.043333,68.19,67.716667,66.56,65.236667,65.436667,65.746667,66.096667,65.633333,66.74,65.67,65.276667,68.82,69.686667,71.276667,70.493333,71.983333,73.71,73.963333,73.966667,75.163333,76.773333,75.14,75.023333,75.076667,76.793333,77.006667,76.95,80.83,84.486667,86.226667,86.66,87.243333,88.496667,93.563333,95.636667,96.49,100.366667,99.916667,99.59,99.89,97.973333,96.163333,96.153333,96.576667,96.193333,96.88,96.876667,97.41,96.056667,95.863333,94.883333,95.386667,96.296667,96.563333,97.216667,97.823333,98.736667,98.553333,97.873333,97.48,95.79,94.783333,96,96.016667,97.046667,97.15,96.953333,96.846667,96.523333,96.693333,97.806667,97.756667,97.94,97.996667,98.813333,98.623333,98.083333,98.23,98.44,98.19,98.416667,99.98,100.726667,100.87,100.53,100.413333,100.086667,99.836667,99.646667,99.25,99.02,99.92,100.126667,100.58,101.65
CA:Canada,86.016667,87.1,89,89.803333,89.456667,90.08,89.733333,91.393333,91.936667,90.39,91.106667,90.52,90.576667,89.663333,86.23,83.443333,85.516667,88.233333,87.24,87.76,89.316667,88.343333,88.613333,86.76,86.796667,86.703333,86.463333,84.543333,84.28,85.883333,84.683333,84.423333,87.13,93.21,94.413333,98.08,97.1,94.893333,98.403333,104.316667,103.303333,102.343333,106.343333,109.496667,110.75,113.326667,113.266667,111.076667,107.573333,114.14,119.166667,125.483333,121.353333,119.453333,116.566667,104.15,102.156667,107.623333,113.033333,116.383333,118.886667,121.616667,119.42,120.76,123.463333,124.36,123.086667,119.573333,121.99,121.813333,123.783333,123.393333,121.443333,120.096667,118.616667,116.99,111.656667,112.823333,113.493333,110.61,103.603333,104.713333,99.46,98.093333,96,101.583333,100.836667,99.98,101.23,98.536667,104.2,103.063333,102.086667,100.913333,101.166667,100.903333,99.62,99.44,101.34,101.38,99.95,98.163333,100.553333,101.336667,103.64,106.926667,104.74,105.413333,105.14,106.113333,105.596667,102.02,100.603333,101.293333,102.083333
GB:United Kingdom,99.943333,97.173333,97.443333,97.113333,97.286667,98.736667,100.163333,106.803333,112.196667,114.876667,118.1,120.956667,124.79,124.95,125.303333,122.026667,122.703333,125.356667,125.14,127.86,129.76,128.24,126.256667,127.496667,125.373333,127.253333,127.653333,128.093333,128.66,127.62,129.71,130.53,127.186667,123.643333,123.34,125.593333,131.12,132.06,131.76,129.236667,129.286667,130.41,127.81,127.493333,126.246667,128.046667,130.626667,132.123333,133.206667,132.396667,132.506667,128.773333,121.243333,117.37,115.323333,106.22,98.893333,103.133333,105.136667,101.89,100.813333,101.05,103.493333,101.463333,102.11,100.326667,100.106667,101.7,102.616667,105.193333,106.323333,105.633333,101.433333,101.59,102.556667,105.53,108.186667,109.846667,111.163333,110.196667,112.82,115.14,117.716667,116.823333,110.556667,108.57,100.05,97.3,97.96,98.886667,97.06,98.513333,99.85,100.2,99.223333,99.303333,100.173333,99.88,96.68,101.276667,101.243333,99.526667,99.436667,99.79,102.903333,104.673333,104.73,104.856667,105.956667,103.483333,101.29,101.283333,101.046667,103.99,106.6
TW:Chinese Taipei,96.896667,95.166667,93.09,94.54,95.213333,96.203333,96.056667,97.096667,100.4,100.043333,99.31,94.083333,93.19,92.26,91.26,91.496667,92.163333,93.433333,94.256667,93.563333,97.686667,99.273333,99.22,97.023333,98.1,97.83,93.91,94.683333,95.303333,94.77,93.563333,91.793333,90.293333,88.94,89.936667,87.996667,88.163333,89.47,87.74,88.123333,90.906667,92.453333,90.846667,88.956667,90.973333,89.856667,88.183333,87.45,86.726667,85.266667,84.636667,83.596667,83.613333,85.663333,84.86,83.576667,81.683333,82.53,81.353333,80.696667,82.38,83.723333,81.866667,83.783333,86.16,85.766667,84.24,82.656667,84.263333,85.376667,84.796667,85.933333,86.406667,86.53,87.01,87.37,86.04,86.556667,87.193333,87.813333,88.833333,91.203333,89.73,88.853333,88.066667,88.08,89.93,92.503333,95.556667,96.74,94.68,94.99,94.583333,94.19,94.98,95.613333,94.256667,94.136667,94.913333,97.293333,98.693333,100.786667,100.11,100.41,100.79,101.593333,103.043333,103.983333,104.003333,103.01,103.633333,102.333333,101.61,101.996667,101.016667
HK:Hong Kong SAR,88.573333,85.45,87.526667,88.973333,90.3,90.946667,91.183333,91.893333,94.43,95.1,97.39,102.07,108.316667,108.026667,109.736667,104.706667,105.443333,106.783333,105.943333,104.78,105.516667,106.963333,108.27,110.633333,111.22,114.113333,113.52,113.996667,115.85,113.29,110.18,110.72,108.376667,106.78,106.576667,104.393333,102.313333,103.306667,103.223333,100.52,98.753333,100.263333,102.03,103.773333,101.913333,100.133333,99.716667,98.75,97.42,95.996667,94.896667,92.386667,89.696667,88.71,90.886667,96.843333,98.006667,95.95,93.536667,91.116667,91.87,93,91.286667,88.266667,87.203333,85.256667,84.526667,87.266667,87.396667,88.4,88.736667,87.47,88.28,89.213333,90.106667,89.243333,89.733333,89.65,90.066667,92.8,95.663333,95.77,97.723333,98.903333,99.253333,97.566667,97.89,100.666667,101.313333,99.426667,96.923333,96.766667,93.69,94.823333,98.253333,99.553333,97.926667,98.62,99.683333,99.646667,100.703333,102.37,99.626667,97.303333,96.103333,96.343333,97.25,97.653333,97.816667,100.836667,104.21,105.916667,101.98,102.94,104.806667
PT:Portugal,95.853333,96.033333,95.71,95.49,95.546667,95.113333,95.86,96.35,95.88,94.933333,93.41,93.736667,93.676667,94.003333,94.736667,95.37,94.923333,93.993333,93.793333,93.403333,92.54,91.883333,91.63,91.27,92.733333,92.26,92.72,92.883333,92.626667,93.24,94.266667,94.573333,95.64,96.396667,96.203333,96.696667,97.123333,96.66,96.833333,97.366667,97.183333,96.596667,96.163333,95.863333,95.843333,96.453333,96.67,96.646667,96.75,96.98,97.07,97.613333,98.086667,98.63,98.13,97.803333,98.56,98.653333,98.846667,99.12,98.036667,96.753333,96.66,97.106667,97.05,97.673333,97.486667,97.32,96.59,96.42,95.956667,96.463333,97.013333,97.073333,97.66,98.04,98.396667,98.236667,97.663333,97.25,95.866667,95.486667,96.216667,96.273333,96.95,97.1,97.176667,97.103333,96.923333,97.25,98.32,98.503333,98.866667,98.85,99.45,99.213333,98.826667,98.916667,98.943333,98.773333,98.903333,99.746667,100.61,100.74,100.54,100.633333,100.343333,100.24,100.226667,99.89,99.613333,100.326667,100.896667,101.37,102
LU:Luxembourg,99.783333,101.213333,100.386667,100.733333,100.076667,99.146667,99.36,98.726667,97.55,97.056667,96.24,97.083333,96.99,97.39,98.056667,98.836667,98.4,97.466667,97.246667,96.91,96.046667,95.276667,94.893333,94.426667,95.723333,95.073333,95.49,95.62,95.373333,95.86,96.646667,96.873333,97.82,98.556667,98.43,98.863333,99.27,98.81,98.943333,99.456667,99.316667,98.76,98.38,98.076667,98.086667,98.636667,98.803333,98.796667,98.946667,99.243333,99.346667,99.966667,100.413333,100.873333,100.373333,99.793333,100.58,100.753333,100.946667,101.243333,100.19,98.966667,98.87,99.34,99.326667,100.086667,99.796667,99.456667,98.69,98.4,97.79,98.393333,99.086667,99.136667,99.616667,100.056667,100.426667,100.326667,99.686667,99.166667,97.556667,97.06,97.75,97.683333,98.223333,98.343333,98.24,98.073333,97.833333,98.2,99.31,99.473333,99.826667,99.65,99.92,99.696667,99.343333,99.306667,99.223333,99.093333,99.123333,99.693333,100.53,100.646667,100.59,100.66,100.34,100.016667,99.903333,99.5,99.03,99.693333,100.253333,100.753333,101.28
HR:Croatia,94.146667,97.426667,94.833333,93.48,93.236667,93.63,96.006667,95.363333,94.713333,94.406667,94.23,96.18,96.653333,94.92,95.086667,94.563333,92.59,90.69,90.433333,89.906667,88.27,88.576667,89.813333,90.033333,90.203333,93.116667,93.68,93.61,92.673333,94.453333,95.553333,94.76,93.883333,95.45,95.843333,94.91,95.773333,97.526667,98.216667,96.566667,96.84,98.576667,97.653333,97.253333,97.743333,99.346667,99.16,98.086667,98.093333,98.48,99.11,99.226667,100.216667,100.876667,100.803333,100.576667,98.896667,99.886667,100.483333,101.55,100.083333,99.13,99.1,98.123333,97.443333,98.083333,97.143333,96.776667,95.23,95.49,95.646667,95.32,95.176667,95.57,96.313333,95.763333,96.163333,96.656667,96.056667,95.376667,94.13,94.96,95.79,95.28,96.046667,97.59,97.666667,97.206667,97.82,98.506667,99.183333,97.96,99.466667,100.153333,100.676667,100.473333,100.076667,100.273333,100.68,100.006667,99.536667,99.293333,100.663333,100.51,100.136667,100.863333,101.026667,100.92,100.796667,100.76,101.01,101.38,101.706667,102.043333,102.943333
LV:Latvia,73.04,76.86,73.763333,72.536667,73.183333,74.123333,74.193333,74.96,76.886667,78.506667,80.31,79.513333,80.99,80.033333,83.243333,91.916667,97.713333,100.1,100.583333,103.853333,106.783333,109.583333,110.263333,110.723333,107.66,110.163333,110.286667,110.473333,109.713333,108.1,106.166667,104.793333,102.68,100.196667,100.583333,99.606667,98.253333,99.366667,98.53,95.913333,93.173333,92.856667,92.356667,91.903333,91.713333,92.326667,92.5,92.106667,91.54,92.11,92.126667,92.183333,92.906667,92.733333,91.42,91.476667,95.33,95.136667,95.633333,94.706667,92.91,91.36,91.263333,91.793333,91.816667,91.84,92.14,93.6,92.61,92.586667,92.073333,92.51,92.52,92.683333,93.37,93.796667,94.623333,94.56,94.216667,95.186667,95.13,93.373333,95.286667,95.586667,97.05,96.56,96.446667,96.173333,95.446667,95.813333,97.2,97.35,97.796667,98.243333,98.893333,98.663333,98.31,98.16,98.156667,97.85,98.28,99.763333,100.743333,101.213333,100.863333,100.743333,100.383333,99.84,100.676667,98.403333,97.286667,98.5,100.346667,101.41,102.83
DK:Denmark,90.47,93.593333,93.44,93.85,93.223333,91.723333,92.41,91.536667,89.92,89.256667,87.6,89.36,89.54,90.1,91.896667,94.036667,92.793333,91.11,90.5,89.873333,88.186667,86.78,86.306667,85.88,88.363333,87.493333,88.62,88.94,88.32,89.2,90.993333,91.333333,93.413333,95.1,94.79,95.613333,96.603333,95.666667,96.06,96.95,96.61,95.676667,94.793333,94.33,94.21,95.276667,95.616667,95.58,95.863333,96.37,96.55,97.41,98.296667,99.18,98.273333,97.963333,100.066667,100.406667,100.686667,101.166667,98.436667,95.473333,95.05,95.8,95.2,96.52,96.28,95.903333,94.283333,93.926667,92.33,93.223333,94.14,94.356667,95.5,96.453333,97.113333,97.096667,96.313333,95.74,93.24,92.106667,93.613333,93.566667,94.733333,95.186667,95.346667,95.326667,94.823333,95.563333,97.206667,97.556667,98.16,98.193333,99.016667,98.55,97.97,98.116667,98.356667,97.983333,98.213333,99.75,100.983333,101.053333,100.586667,100.643333,100.253333,99.596667,99.606667,98.953333,98.49,100.026667,101.2,102.256667,103.363333
LT:Lithuania,45.713333,45.416667,45.26,45.376667,46.703333,48.123333,48.07,48.996667,52.39,54.066667,56.39,55.843333,57.936667,57.44,59.396667,62.146667,66.573333,70.1,70.453333,71.426667,74.346667,77.646667,79.393333,82.043333,78.936667,82.436667,82.013333,81.69,83.59,85.256667,87.35,87.526667,89.453333,90.763333,90.576667,91.66,92.53,91.656667,91.586667,92.016667,91.496667,91.103333,90.44,89.923333,89.656667,90.443333,90.643333,90.326667,90.513333,90.59,90.636667,90.92,91.26,91.453333,90.673333,91.556667,95.436667,95.33,95.066667,95.166667,93.21,91.41,91.473333,92.15,91.51,92.24,92.67,93.09,91.496667,91.4,90.533333,91.026667,91.56,91.953333,92.936667,93.45,94.35,94.253333,93.86,95.036667,94.98,92.97,95.096667,95.4,97.136667,96.58,96.536667,96.223333,95.346667,95.55,97.016667,97.093333,97.386667,97.893333,98.68,98.473333,98.096667,97.97,98.11,97.773333,98.22,99.823333,100.726667,101.23,100.88,100.833333,100.493333,100.043333,100.953333,98.77,97.786667,98.893333,100.666667,101.746667,103.216667
HU:Hungary,209.01,186.18,178.286667,171.186667,166.076667,162.053333,157.253333,152.89,152.403333,147.623333,143.09,139.776667,137.72,133.913333,129.696667,127.93,129.293333,128.016667,126.22,124.356667,122.41,119.436667,117.753333,115.786667,118.173333,120.81,124.473333,125.183333,128.286667,130.333333,131.626667,135.826667,136.256667,134.576667,129.533333,130.946667,132.276667,135.22,137.416667,140.36,140.193333,136.29,137.36,133.266667,131.663333,126.85,123.316667,130.57,134.76,137.563333,135.746667,136.3,133.7,141.123333,146.503333,129.823333,119.06,122.863333,129.976667,130.87,128.833333,122.926667,119.246667,123.243333,124.33,128.576667,124.266667,112.353333,113.233333,113.856667,117.15,118.066667,113.92,114.446667,114.603333,115.696667,112.616667,113.15,109.813333,110.443333,107.94,108.01,107.156667,107.01,108.34,108.11,108.81,109.316667,109.086667,109.19,112.213333,110.516667,111.166667,109.003333,107.543333,107.63,108.716667,107.113333,105.396667,103.936667,101.896667,99.553333,100.163333,98.38,97.96,99.876667,99.686667,96.533333,96.586667,90.68,86.06,85.453333,91.03,95.703333,94.026667
PE:Peru,105.423333,101.396667,104.23,103.613333,102.626667,101.436667,98.956667,95.506667,96.09,95.996667,97.893333,98.166667,98.816667,96.386667,93.576667,88.326667,84.336667,85.39,85.436667,82.6,83.19,84.006667,85.376667,86.186667,86.376667,87.73,90,91.58,92.59,93.223333,91.19,92.783333,93.39,90.786667,90.51,88.61,87.113333,88.443333,90.063333,89.99,89.696667,90.06,89.45,86.466667,87.003333,87.68,88.796667,88.513333,88.783333,87.38,86.94,88.93,90.32,91.033333,89.6,92.166667,90.81,92.79,92.043333,92.486667,94.456667,96.11,96.023333,93.743333,93.923333,91.71,93.563333,97.68,98.073333,100.473333,102.736667,102.986667,103.256667,100.95,97.85,97.476667,98.066667,98.35,98.01,97.756667,97.853333,95.916667,97.153333,95.64,94.02,95.666667,95.143333,95.756667,98.98,98.556667,96.903333,97.083333,94.883333,96.466667,99.87,99.356667,99.186667,100.56,101.55,101.843333,101.743333,104.603333,98.713333,94.933333,92.373333,89.146667,84.443333,86.03,91.023333,94.646667,95.043333,96.713333,95.763333,99.083333,101.46
XM:Euro area,76.4,78.183333,78.623333,80.006667,80.053333,79.3,80.77,80.57,78.313333,77.203333,75.52,79.296667,79.896667,81.246667,84.143333,87.02,85.403333,82.256667,81.503333,80.493333,77.67,75.32,74.263333,73.023333,77.706667,75.916667,77.453333,78.05,77.126667,79.253333,82.956667,84.086667,88.306667,91.573333,90.823333,93.216667,95.416667,93.303333,94.026667,96.42,95.866667,93.753333,91.956667,90.82,90.73,93.186667,94.103333,93.996667,94.513333,95.513333,95.926667,98.07,99.583333,101.786667,99.433333,96.593333,99.93,100.813333,101.953333,103.163333,98.21,92.703333,92.316667,94.203333,93.723333,96.103333,95.1,94.323333,91.506667,90.756667,88.89,90.76,92.883333,93.1,95.103333,96.706667,98.196667,97.886667,95.77,94.183333,89.166667,87.436667,89.863333,89.886667,91.996667,92.47,92.44,92.003333,91.316667,92.483333,96.15,96.613333,97.793333,97.376667,98.883333,98.173333,96.843333,96.893333,96.923333,96.39,96.613333,99.066667,102.006667,102.31,101.786667,101.976667,100.886667,99.8,99.433333,97.833333,96.326667,98.776667,100.766667,102.58,104.69
CY:Cyprus,71.236667,72.34,72.433333,73.166667,73.75,74.096667,75.49,76.166667,75.96,75.883333,75.353333,78.773333,80.883333,82.3,84.42,87.633333,86.21,84.97,84.543333,83.866667,82.546667,81.453333,80.993333,80.75,84.07,83.71,85.286667,85.756667,85.35,86.17,88.48,89.66,90.983333,91.813333,91.1,92.683333,93.353333,92.516667,93.986667,95.456667,94.083333,93.6,93.84,93.426667,93.01,93.936667,94.276667,93.836667,93.746667,93.686667,93.61,94.78,95.64,97.186667,96.326667,95.95,97.873333,98.016667,98.416667,98.82,96.403333,93.803333,93.806667,94.626667,94.63,95.63,95.706667,95.463333,94.18,93.776667,93.103333,93.766667,94.6,94.683333,95.56,96.15,96.59,96.31,95.396667,95.216667,92.93,91.91,92.783333,92.713333,93.763333,93.886667,93.943333,93.79,93.44,93.926667,96.18,96.38,97.103333,97.226667,98.826667,98.336667,97.57,97.923333,97.876667,97.466667,97.86,99.426667,101.273333,101.44,100.943333,101.476667,101.03,101.12,101.806667,101.31,100.963333,102.523333,103.866667,105.65,107.506667
TH:Thailand,103.42,99.543333,102.123333,103.91,105.323333,106.083333,106.243333,106.78,109.093333,111.593333,88.773333,75.11,68.413333,79.273333,79.263333,82.91,83.16,84.29,80.546667,78.053333,81.443333,80.496667,76.846667,74.15,75.433333,73.85,74.183333,75.663333,78.42,78.193333,77.226667,75.316667,74.726667,74.56,76.07,76.503333,76.29,75.486667,73.456667,73.236667,75.42,73.613333,72.483333,74.216667,76.42,77.553333,78.526667,80.58,86.2,88.79,91.006667,89.44,86.953333,82.493333,80.136667,81.63,81.356667,81.183333,80.746667,80.15,81.93,84.42,84.523333,86.443333,84.116667,83.133333,82.9,82.386667,82.476667,82.733333,82.526667,83.763333,88.31,89.696667,86.066667,85.106667,83.753333,83.963333,85.393333,87.163333,90.756667,89.52,86.476667,86.01,86.626667,85.516667,86.283333,87.563333,89.146667,89.886667,90.62,91.916667,93.113333,93.48,93.833333,95.433333,97.693333,98.586667,102.23,103.886667,100.873333,100.126667,99.5,99.503333,99.556667,96.64,92.903333,92.586667,94.21,94.44,92.726667,94.64,97.7,97.496667,97.706667
CZ:Czechia,67.726667,68.02,67.796667,68.17,68.036667,68.256667,70.143333,69.85,71.156667,66.366667,63.563333,63.06,63.38,65.656667,68.933333,71.043333,66.4,64.84,66.733333,66.663333,66.88,65.27,66.423333,67.153333,68.736667,69.01,70.126667,72.17,74.946667,79.156667,81.073333,79.713333,79.293333,80.89,78.93,79.983333,78.85,80.173333,81.426667,83.33,86.14,85.136667,85.67,86.41,88.49,90.17,90.7,91.513333,91.63,91.233333,92.476667,97.223333,102.6,106.343333,108.253333,101.713333,95.303333,99.113333,103.753333,102.973333,100.75,99.43,101.943333,103.406667,104.87,106.303333,105.693333,101.753333,100.913333,99.806667,99.433333,99.886667,99.406667,98.443333,99.316667,96.826667,94.84,94.73,93.123333,92.38,90.12,89.913333,92.29,92.423333,93.653333,93.896667,93.926667,93.783333,93.45,95.66,99.193333,101.043333,102.496667,101.556667,102.136667,101.196667,101.163333,101.24,101.173333,101.563333,101.543333,97.333333,100.876667,100.243333,102.273333,104.06,104.146667,104.126667,107.22,106.496667,106.126667,108.44,112.18,114.22,112.89
PH:Philippines,169.85,157.993333,164.226667,165.55,167.823333,169.15,169.653333,171,176.236667,176.793333,159.893333,140.686667,129.016667,133.566667,124.616667,124.363333,130.813333,135.246667,128.926667,122.853333,123.156667,120.933333,113.736667,105.946667,108.053333,107.35,103.976667,105.05,108.496667,107.723333,102.366667,99.79,96.346667,97.34,93.933333,90.093333,87.516667,88.82,88.646667,85.81,86.606667,88.26,87.436667,91.346667,94.71,92.353333,94.146667,96.546667,98.33,100.95,101.826667,106.056667,108.616667,102.23,98.556667,97.036667,99.446667,97.406667,94.266667,94.643333,96.943333,99.256667,97.95,98.433333,97.256667,96.543333,97.023333,97.6,98.626667,100.32,102.363333,103.2,106.45,105.41,101.793333,101.393333,99.69,101.086667,102.223333,103.736667,108.286667,108.1,107.333333,106.516667,105.76,104.89,103.056667,101.75,100.81,99.496667,95.713333,95.423333,91.4,90.893333,92.193333,93.843333,93.886667,95.32,96.32,97.743333,98.35,100.53,101.233333,99.886667,98.92,99.81,96.926667,97.22,95.776667,97.65,94.72,94.846667,95.29,95.096667,96.5
TR:T&uuml;rkiye,13135.49667,12194.15,11451.18,10080.51333,8493.86,7295.303333,6503.58,5681.416667,5054.773333,4450.45,3891.506667,3343.163333,2924.196667,2566.236667,2394.756667,2180.863333,1936.116667,1743.676667,1579.016667,1399.21,1281.34,1228.373333,1187.226667,1163.196667,971.573333,672.383333,565.11,518.086667,590.066667,551.596667,450.006667,455.05,424.943333,448.806667,488.87,451.64,472.156667,443.89,432.33,422.98,452.443333,452.353333,470.26,473.936667,476.656667,424.69,406.2,413.23,421.013333,433.696667,444.046667,461.55,445.576667,413.393333,441.78,388.223333,372.286667,378.143333,380.846667,372.92,382.216667,394.003333,394.78,393.38,361.313333,350.9,320.726667,315.04,325.466667,329.44,334.343333,327.836667,327.36,321.273333,299.403333,286.016667,261.9,274.07,273.013333,274.783333,271.173333,250.903333,237.756667,236.81,236.006667,234.833333,231.566667,215.186667,191.943333,193.49,189.443333,174.67,168.013333,150.61,121.226667,125.473333,127.686667,117.926667,123.57,120.916667,115.33,104.183333,95.063333,85.426667,90.01,79.2,78.91,62.863333,49.956667,45.856667,41.96,40.586667,38.63,35.023333,27.456667
PL:Poland,127.473333,125.673333,124.9,122.273333,121.97,118.756667,114.67,112.016667,111.78,108.85,104.296667,102.313333,105.763333,106.813333,103.386667,102.18,98.8,98.363333,98.436667,94.14,99.4,97.813333,100.1,101.056667,107.19,115.18,107.43,110.726667,111.13,109.096667,100.856667,103.516667,100.526667,97.896667,96.163333,92.776667,90.54,91.453333,97.28,102.44,107.366667,103.706667,105.773333,108.123333,110.283333,108.16,108.363333,111.276667,110.233333,113.2,113.673333,118.886667,122.39,129.673333,132.076667,114.793333,97.816667,98.966667,105.523333,106.566667,109.103333,105.81,105.733333,107.783333,108.066667,108.8,103.446667,96.636667,99.58,98.57,100.41,101.936667,101.886667,100.95,100.756667,103.153333,104.056667,104.39,103.13,101.443333,99.663333,101.176667,100.12,98.353333,97.263333,97.243333,98.05,97.003333,97.973333,101.06,101.846667,102.703333,104.493333,102.37,102.453333,102.236667,101.403333,102.013333,101.22,101.743333,101.03,98.223333,101.06,99.693333,98.41,98.776667,97.473333,95.923333,95.973333,94.53,91.943333,93.596667,94.86,99.5,101.92
DE:Germany,89.986667,92.236667,91.223333,92.276667,91.443333,89.996667,90.973333,90.173333,88.356667,87.606667,86.26,88.716667,89.193333,90.163333,91.96,93.753333,92.92,91.16,90.666667,90.1,88.406667,86.966667,86.24,85.47,88.333333,87.186667,88.153333,88.5,87.883333,89.113333,91.413333,92.043333,94.48,96.316667,95.97,97.373333,98.716667,97.48,97.816667,99.063333,98.666667,97.506667,96.406667,95.726667,95.61,97.096667,97.686667,97.573333,97.846667,98.396667,98.623333,99.726667,100.423333,101.506667,100.043333,98.32,100.236667,100.756667,101.37,102.013333,99.16,95.94,95.706667,96.766667,96.503333,97.933333,97.28,96.87,95.11,94.65,93.45,94.626667,95.99,96.123333,97.33,98.346667,99.303333,99.156667,97.83,96.756667,93.5,92.376667,93.95,93.976667,95.276667,95.57,95.456667,95.183333,94.746667,95.466667,97.723333,98.003333,98.65,98.366667,99.316667,98.903333,98.043333,98.07,98.103333,97.81,97.923333,99.503333,101.233333,101.343333,101.053333,101.126667,100.453333,99.726667,99.373333,98.446667,97.536667,99.066667,100.14,101.216667,102.493333